Parent ASIN#Suchanfrage#Ergebnis Suchanfrage#Volumen Suchanfrage#Eindrücke Gesamtanzahl#Eindrücke ASIN Anzahl#Eindrücke ASIN Anteil#Klicks Gesamtanzahl# Klicks Rate# Klick ASIN Anzahl# Klicks ASIN Anteil# Klicks Preis (Median)#ASIN Preis (Median)#Versand gleicher Tag# Versand 1 Tag# Versand 2 TageEinkaufswagen Gesamtanzahl# Einkaufswagen hinzufügen%# ASIN Anzahl# ASIN Anzeil# Preis Median# ASIN Preis (Median)#Versand gleicher Tag# Versand 1 Tag# Versand 2 TageKäufe Gesamtanzahl# Kauftarif%# ASIN Anzahl# ASIN Anzeil# Preis Median# ASIN Preis (Median)#Versand gleicher Tag# Versand 1 Tag# Versand 2 Tage
B017WKZDHA#übergangsprofil selbstklebend#1#26.138#630.176#31.420#4,99%#11.566#44,25%#1.733#14,98%#11,39 €#8,99 €#298#1.345#915#1.191#4,56%#231#19,4%#9,99 €#8,99 €#31#124#102#328#1,25%#69#21,04%#10,59 €#8,99 €#7#39#31#/brand-analytics/dashboard/query-detail?view-id=query-detail-asin-view&asin=B017WKZDHA&search-term-freeform=%C3%BCbergangsprofil%20selbstklebend&reporting-range=quarterly&quarterly-year=2023&2023-quarter=2023-03-31&country-id=deB017WKZDHA#B0182FJN5C#B0BCWNNX5X#B0869MBSSY#B0888M2VR2#B0743KS82R#B017WLBR88#B0B3MHJXHW#B0B9SRQHL6#B01EWWDGDE
B017WKZDHA#übergangsprofil selbstklebend#1#26.138#630.176#31.420#4,99%#11.566#44,25%#1.733#14,98%#11,39 €#8,99 €#298#1.345#915#1.191#4,56%#231#19,4%#9,99 €#8,99 €#31#124#102#328#1,25%#69#21,04%#10,59 €#8,99 €#7#39#31#/brand-analytics/dashboard/query-detail?view-id=query-detail-asin-view&asin=B017WKZDHA&search-term-freeform=%C3%BCbergangsprofil%20selbstklebend&reporting-range=quarterly&quarterly-year=2023&2023-quarter=2023-03-31&country-id=deB017WKZDHA#B0182FJN5C#B0BCWNNX5X#B0869MBSSY#B0888M2VR2#B0743KS82R#B017WLBR88#B0B3MHJXHW#B0B9SRQHL6#B01EWWDGDE
B017WKZDHA#übergangsprofil#2#44.861#1.133.689#45.449#4,01%#16.964#37,81%#1.676#9,88%#11,69 €#8,99 €#225#1.142#1.134#1.547#3,45%#176#11,38%#11,48 €#8,99 €#21#114#95#365#0,81%#43#11,78%#9,99 €#8,99 €#6#29#23#/brand-analytics/dashboard/query-detail?view-id=query-detail-asin-view&asin=B017WKZDHA&search-term-freeform=%C3%BCbergangsprofil&reporting-range=quarterly&quarterly-year=2023&2023-quarter=2023-03-31&country-id=deB017WKZDHA#B0869MBSSY#B07ZRWGLB8#B0182FJN5C#B0743KS82R#B0869QBRTY#B01EWWDGDE#B0888M2VR2#B07QD6VCLW#B017WLBR88
B017WKZDHA#übergangsprofil#2#44.861#1.133.689#45.449#4,01%#16.964#37,81%#1.676#9,88%#11,69 €#8,99 €#225#1.142#1.134#1.547#3,45%#176#11,38%#11,48 €#8,99 €#21#114#95#365#0,81%#43#11,78%#9,99 €#8,99 €#6#29#23#/brand-analytics/dashboard/query-detail?view-id=query-detail-asin-view&asin=B017WKZDHA&search-term-freeform=%C3%BCbergangsprofil&reporting-range=quarterly&quarterly-year=2023&2023-quarter=2023-03-31&country-id=deB017WKZDHA#B0869MBSSY#B07ZRWGLB8#B0182FJN5C#B0743KS82R#B0869QBRTY#B01EWWDGDE#B0888M2VR2#B07QD6VCLW#B017WLBR88
B017WKZDHA#übergangsleiste#3#17.276#426.680#18.349#4,3%#6.401#37,05%#811#12,67%#11,97 €#8,99 €#131#543#423#553#3,2%#91#16,46%#11,69 €#8,99 €#14#50#38#136#0,79%#26#19,12%#11,69 €#8,99 €#6#14#9#/brand-analytics/dashboard/query-detail?view-id=query-detail-asin-view&asin=B017WKZDHA&search-term-freeform=%C3%BCbergangsleiste&reporting-range=quarterly&quarterly-year=2023&2023-quarter=2023-03-31&country-id=deB017WKZDHA#B0869MBSSY#B0743KS82R#B07ZRTG89B#B0869QBRTY#B0888M2VR2#B0BCQ6B2RC#B07QRPPMDW#B0BJ2PPZKN#B07QD6VCLW
B017WKZDHA#übergangsleiste#3#17.276#426.680#18.349#4,3%#6.401#37,05%#811#12,67%#11,97 €#8,99 €#131#543#423#553#3,2%#91#16,46%#11,69 €#8,99 €#14#50#38#136#0,79%#26#19,12%#11,69 €#8,99 €#6#14#9#/brand-analytics/dashboard/query-detail?view-id=query-detail-asin-view&asin=B017WKZDHA&search-term-freeform=%C3%BCbergangsleiste&reporting-range=quarterly&quarterly-year=2023&2023-quarter=2023-03-31&country-id=deB017WKZDHA#B0869MBSSY#B0743KS82R#B07ZRTG89B#B0869QBRTY#B0888M2VR2#B0BCQ6B2RC#B07QRPPMDW#B0BJ2PPZKN#B07QD6VCLW
B017WKZDHA#übergangsleiste selbstklebend#4#8.080#185.159#9.476#5,12%#3.738#46,26%#629#16,83%#11,39 €#8,99 €#140#542#316#365#4,52%#90#24,66%#9,99 €#8,99 €#23#34#28#114#1,41%#28#24,56%#11,24 €#8,99 €#6#16#9#/brand-analytics/dashboard/query-detail?view-id=query-detail-asin-view&asin=B017WKZDHA&search-term-freeform=%C3%BCbergangsleiste%20selbstklebend&reporting-range=quarterly&quarterly-year=2023&2023-quarter=2023-03-31&country-id=deB017WKZDHA#B0182CB826#B0869MBSSY#B0888M2VR2#B0BCXTWG7N#B0743KS82R#B0957GZCGT#B01EWWDGDE#B0BJ2PPZKN#B0BB2YS193
B017WKZDHA#übergangsleiste selbstklebend#4#8.080#185.159#9.476#5,12%#3.738#46,26%#629#16,83%#11,39 €#8,99 €#140#542#316#365#4,52%#90#24,66%#9,99 €#8,99 €#23#34#28#114#1,41%#28#24,56%#11,24 €#8,99 €#6#16#9#/brand-analytics/dashboard/query-detail?view-id=query-detail-asin-view&asin=B017WKZDHA&search-term-freeform=%C3%BCbergangsleiste%20selbstklebend&reporting-range=quarterly&quarterly-year=2023&2023-quarter=2023-03-31&country-id=deB017WKZDHA#B0182CB826#B0869MBSSY#B0888M2VR2#B0BCXTWG7N#B0743KS82R#B0957GZCGT#B01EWWDGDE#B0BJ2PPZKN#B0BB2YS193
B017WKZDHA#türleisten boden selbstklebend#5#4.455#108.800#5.909#5,43%#1.934#43,41%#456#23,58%#9,99 €#8,99 €#42#215#167#230#5,16%#71#30,87%#9,99 €#8,99 €#9#30#19#70#1,57%#21#30%#11,69 €#8,99 €#7#10#5#/brand-analytics/dashboard/query-detail?view-id=query-detail-asin-view&asin=B017WKZDHA&search-term-freeform=t%C3%BCrleisten%20boden%20selbstklebend&reporting-range=quarterly&quarterly-year=2023&2023-quarter=2023-03-31&country-id=deB017WKZDHA#B0869MBSSY#B08XWFQ1RL#B0182FJN5C#B0182CB826#B0B5WCTFVH#B0743KS82R#B0B3MHJXHW#B0888M2VR2#B0B851NB8D
B017WKZDHA#türleisten boden selbstklebend#5#4.455#108.800#5.909#5,43%#1.934#43,41%#456#23,58%#9,99 €#8,99 €#42#215#167#230#5,16%#71#30,87%#9,99 €#8,99 €#9#30#19#70#1,57%#21#30%#11,69 €#8,99 €#7#10#5#/brand-analytics/dashboard/query-detail?view-id=query-detail-asin-view&asin=B017WKZDHA&search-term-freeform=t%C3%BCrleisten%20boden%20selbstklebend&reporting-range=quarterly&quarterly-year=2023&2023-quarter=2023-03-31&country-id=deB017WKZDHA#B0869MBSSY#B08XWFQ1RL#B0182FJN5C#B0182CB826#B0B5WCTFVH#B0743KS82R#B0B3MHJXHW#B0888M2VR2#B0B851NB8D
